model,fold,r2
XGBoost,0,0.9053173145674678
XGBoost,1,0.9107432958077635
XGBoost,2,0.9044196494645801
XGBoost,3,0.9020258479053348
XGBoost,4,0.9022727838918088
RandomForest,0,0.8834136973487723
RandomForest,1,0.8913021226557755
RandomForest,2,0.8853306594909292
RandomForest,3,0.8816016068264262
RandomForest,4,0.8889368156679395
LinearRegression,0,0.7836163735141679
LinearRegression,1,0.7917536410811405
LinearRegression,2,0.7740136920011851
LinearRegression,3,0.7716787921398994
LinearRegression,4,0.7792031748816307
